HP:0000001	C0444868	All
HP:0002669	C0029463	Osteosarcoma
HP:0002671	C0007117	Basal cell carcinoma
HP:0002671	C1862314	Basal cell carcinoma
HP:0002672	C0151544	Gastrointestinal carcinoma
HP:0002673	C0239137	Coxa valga
HP:0002673	C3549698	Coxa valga
HP:0002676	C1860050	Cloverleaf skull
HP:0002676	C4280564	Cloverleaf skull
HP:0002677	C1535953	Small foramen magnum
HP:0002677	C1861217	Small foramen magnum
HP:0002677	C4072838	Small foramen magnum
HP:0002678	C0424690	Skull asymmetry
HP:0002678	C4280562	Skull asymmetry
HP:0002678	C4280563	Skull asymmetry
HP:0002679	C4021754	Abnormality of the sella turcica
HP:0002679	C4072839	Abnormality of the sella turcica
HP:0002680	C1854718	J-shaped sella turcica
HP:0002680	C4072841	J-shaped sella turcica
HP:0002680	C4072842	J-shaped sella turcica
HP:0002681	C1846437	Deformed sella turcica
HP:0002682	C0424693	Broad skull
HP:0002683	C4025691	Abnormality of the calvaria
HP:0002683	C4280561	Abnormality of the calvaria
HP:0002684	C1858452	Thickened calvaria
HP:0002684	C4280560	Thickened calvaria
HP:0002686	C4025690	Prenatal maternal abnormality
HP:0002687	C4025689	Abnormality of frontal sinus
HP:0002688	C1855669	Absent frontal sinuses
HP:0002688	C4280559	Absent frontal sinuses
HP:0002689	C1857131	Absent paranasal sinuses
HP:0002689	C3804986	Absent paranasal sinuses
HP:0002689	C4072844	Absent paranasal sinuses
HP:0002690	C1843677	Large sella turcica
HP:0002690	C4072845	Large sella turcica
HP:0002690	C4072846	Large sella turcica
HP:0002691	C0032209	Platybasia
HP:0002692	C1846438	Hypoplastic facial bones
HP:0002692	C4229090	Hypoplastic facial bones
HP:0002692	C4280268	Hypoplastic facial bones
HP:0002692	C4280557	Hypoplastic facial bones
HP:0002692	C4280558	Hypoplastic facial bones
HP:0002693	C4025688	Abnormality of the skull base
HP:0002694	C1851714	Sclerosis of skull base
HP:0002694	C4072847	Sclerosis of skull base
HP:0002694	C4072848	Sclerosis of skull base
HP:0002695	C1865045	Symmetrical, oval parietal bone defects
HP:0002696	C4021834	Abnormality of the parietal bone
HP:0002697	C0222706	Parietal foramina
HP:0002697	C4280556	Parietal foramina
HP:0002699	C4025687	Abnormality of the foramen magnum
HP:0002700	C1844508	Large foramen magnum
HP:0002700	C4073291	Large foramen magnum
HP:0002700	C4280554	Large foramen magnum
HP:0002700	C4280555	Large foramen magnum
HP:0002703	C4025686	Abnormality of skull ossification
HP:0002703	C4280550	Abnormality of skull ossification
HP:0002703	C4280551	Abnormality of skull ossification
HP:0002703	C4280552	Abnormality of skull ossification
HP:0002703	C4280553	Abnormality of skull ossification
HP:0002705	C1837404	High, narrow palate
HP:0002707	C1857699	Palate telangiectasia
HP:0002707	C4280267	Palate telangiectasia
HP:0002708	C1845108	Prominent median palatal raphe
HP:0002710	C0399605	Commissural lip pit
HP:0002711	C1845109	Exaggerated median tongue furrow
HP:0002714	C1866195	Downturned corners of mouth
HP:0002715	C4021753	Abnormality of the immune system
HP:0002716	C0497156	Lymphadenopathy
HP:0002717	C4025685	Adrenal overactivity
HP:0002718	C1844383	Recurrent bacterial infections
HP:0002718	C2748958	Recurrent bacterial infections
HP:0002718	C4020846	Recurrent bacterial infections
HP:0002719	C0239998	Recurrent infections
HP:0002720	C0162538	IgA deficiency
HP:0002721	C0021051	Immunodeficiency
HP:0002722	C4025684	Recurrent abscess formation
HP:0002723	C1844385	Absence of bactericidal oxidative respiratory burst in phagocytes
HP:0002724	C4021752	Recurrent Aspergillus infections
HP:0002725	C0024141	Systemic lupus erythematosus
HP:0002726	C2673462	Recurrent Staphylococcus aureus infections
HP:0002728	C0006845	Chronic mucocutaneous candidiasis
HP:0002729	C4014733	Follicular hyperplasia
HP:0002730	C1858970	Chronic noninfectious lymphadenopathy
HP:0002731	C1858969	Decreased lymphocyte apoptosis
HP:0002732	C1865377	Lymph node hypoplasia
HP:0002732	C4025683	Lymph node hypoplasia
HP:0002733	C0149727	Abnormality of the lymph nodes
HP:0002737	C1839507	Thick skull base
HP:0002738	C1859682	Hypoplastic frontal sinuses
HP:0002738	C4280548	Hypoplastic frontal sinuses
HP:0002738	C4280549	Hypoplastic frontal sinuses
HP:0002740	C0014836	Recurrent E. coli infections
HP:0002741	C4025682	Recurrent Serratia marcescens infections
HP:0002742	C4021751	Recurrent Klebsiella infections
HP:0002743	C4025681	Recurrent enteroviral infections
HP:0002744	C1398522	Bilateral cleft lip and palate
HP:0002745	C0023532	Oral leukoplakia
HP:0002745	C1704317	Oral leukoplakia
HP:0002747	C3806467	Respiratory insufficiency due to muscle weakness
HP:0002748	C0035579	Rickets
HP:0002749	C0029442	Osteomalacia
HP:0002750	C0541764	Delayed skeletal maturation
HP:0002751	C0575158	Kyphoscoliosis
HP:0002752	C1833324	Sparse bone trabeculae
HP:0002753	C1833325	Thin bony cortex
HP:0002754	C0029443	Osteomyelitis
HP:0002754	C2242472	Osteomyelitis
HP:0002756	C0016663	Pathologic fracture
HP:0002757	C0016655	Recurrent fractures
HP:0002757	C1833752	Recurrent fractures
HP:0002757	C3805574	Recurrent fractures
HP:0002757	C3806283	Recurrent fractures
HP:0002758	C0029408	Osteoarthritis
HP:0002761	C1836308	Generalized joint laxity
HP:0002762	C0015306	Multiple exostoses
HP:0002763	C4025680	Abnormal cartilage morphology
HP:0002764	C4025679	Stippled chondral calcification
HP:0002766	C3277114	Relatively short spine
HP:0002777	C0040583	Tracheal stenosis
HP:0002778	C0040580	Abnormal trachea morphology
HP:0002778	C4025678	Abnormal trachea morphology
HP:0002779	C0948187	Tracheomalacia
HP:0002780	C0264353	Bronchomalacia
HP:0002781	C0740852	Upper airway obstruction
HP:0002783	C0149725	Recurrent lower respiratory tract infections
HP:0002783	C0585953	Recurrent lower respiratory tract infections
HP:0002783	C3163798	Recurrent lower respiratory tract infections
HP:0002786	C0340231	Tracheobronchomalacia
HP:0002787	C0264324	Tracheal calcification
HP:0002788	C0581381	Recurrent upper respiratory tract infections
HP:0002789	C0231835	Tachypnea
HP:0002790	C3806216	Neonatal breathing dysregulation
HP:0002791	C0235063	Hypoventilation
HP:0002791	C3203358	Hypoventilation
HP:0002792	C0476408	Reduced vital capacity
HP:0002792	C0520831	Reduced vital capacity
HP:0002793	C1837388	Abnormal pattern of respiration
HP:0002795	C4025677	Functional respiratory abnormality
HP:0002797	C0221204	Osteolysis
HP:0002803	C0332878	Congenital contracture
HP:0002804	C0003886	Arthrogryposis multiplex congenita
HP:0002805	C1860825	Accelerated bone age after puberty
HP:0002808	C0022821	Kyphosis
HP:0002808	C1845112	Kyphosis
HP:0002810	C3277123	Dumbbell-shaped metaphyses
HP:0002812	C0239138	Coxa vara
HP:0002813	C4082761	Abnormality of limb bone morphology
HP:0002814	C1096086	Abnormality of the lower limb
HP:0002815	C4025676	Abnormality of the knee
HP:0002816	C0546964	Genu recurvatum
HP:0002817	C4020900	Abnormality of the upper limb
HP:0002818	C4025675	Abnormality of the radius
HP:0002821	C0003892	Neuropathic arthropathy
HP:0002822	C3277120	Hyperplasia of the femoral trochanters
HP:0002823	C4021750	Abnormality of femur morphology
HP:0002825	C3277117	Caudal appendage
HP:0002826	C3277119	Halberd-shaped pelvis
HP:0002827	C0019554	Hip dislocation
HP:0002828	C0158118	Multiple joint contractures
HP:0002829	C0003862	Arthralgia
HP:0002831	C3277116	Long coccyx
HP:0002832	C1849993	Calcific stippling
HP:0002833	C4021749	Cystic angiomatosis of bone
HP:0002834	C4025674	Flared femoral metaphysis
HP:0002835	C0700198	Aspiration
HP:0002835	C2712334	Aspiration
HP:0002836	C0005689	Bladder exstrophy
HP:0002837	C0741796	Recurrent bronchitis
HP:0002839	C1843663	Urinary bladder sphincter dysfunction
HP:0002840	C0024205	Lymphadenitis
HP:0002841	C1844384	Recurrent fungal infections
HP:0002842	C4025673	Recurrent Burkholderia cepacia infections
HP:0002843	C1855752	Abnormal T cell morphology
HP:0002846	C4021748	Abnormal B cell morphology
HP:0002847	C4025672	Impaired memory B cell generation
HP:0002848	C4021747	Specific anti-polysaccharide antibody deficiency
HP:0002849	C1847383	Absence of lymph node germinal center
HP:0002850	C0239989	IgM deficiency
HP:0002851	C1858973	Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells
HP:0002853	C1858974	Increased proportion of HLA DR+ T cells
HP:0002857	C0576093	Genu valgum
HP:0002858	C0025286	Meningioma
HP:0002859	C0035412	Rhabdomyosarcoma
HP:0002860	C0007137	Squamous cell carcinoma
HP:0002860	C0751688	Squamous cell carcinoma
HP:0002861	C0025202	Melanoma
HP:0002862	C0699885	Bladder carcinoma
HP:0002863	C1851971	Myelodysplasia
HP:0002863	C3463824	Myelodysplasia
HP:0002864	C1333944	Paraganglioma of head and neck
HP:0002865	C0238462	Medullary thyroid carcinoma
HP:0002866	C1865027	Hypoplastic iliac wing
HP:0002867	C4021746	Abnormality of the ilium
HP:0002868	C1836688	Narrow iliac wings
HP:0002869	C1865841	Flared iliac wings
HP:0002870	C0520679	Obstructive sleep apnea
HP:0002871	C0520680	Central apnea
HP:0002872	C3806462	Apneic episodes precipitated by illness, fatigue, stress
HP:0002875	C0231807	Exertional dyspnea
HP:0002876	C3806218	Episodic tachypnea
HP:0002877	C1843643	Nocturnal hypoventilation
HP:0002878	C1145670	Respiratory failure
HP:0002879	C1857101	Anisospondyly
HP:0002882	C4025671	Sudden episodic apnea
HP:0002883	C0020578	Hyperventilation
HP:0002884	C0206624	Hepatoblastoma
HP:0002885	C0025149	Medulloblastoma
HP:0002886	C0474819	Vagal paraganglioma
HP:0002888	C0014474	Ependymoma
HP:0002890	C0549473	Thyroid carcinoma
HP:0002891	C0280631	Uterine leiomyosarcoma
HP:0002893	C0032000	Pituitary adenoma
HP:0002894	C0030297	Neoplasm of the pancreas
HP:0002894	C0346647	Neoplasm of the pancreas
HP:0002894	C1842408	Neoplasm of the pancreas
HP:0002895	C0238463	Papillary thyroid carcinoma
HP:0002896	C0023903	Neoplasm of the liver
HP:0002896	C0345904	Neoplasm of the liver
HP:0002897	C0262587	Parathyroid adenoma
HP:0002898	C0027654	Embryonal neoplasm
HP:0002900	C0020621	Hypokalemia
HP:0002901	C0020598	Hypocalcemia
HP:0002902	C0020625	Hyponatremia
HP:0002904	C0311468	Hyperbilirubinemia
HP:0002905	C0085681	Hyperphosphatemia
HP:0002905	C0553706	Hyperphosphatemia
HP:0002907	C0239937	Microscopic hematuria
HP:0002908	C0268307	Conjugated hyperbilirubinemia
HP:0002909	C1847868	Generalized aminoaciduria
HP:0002910	C0086565	Elevated hepatic transaminase
HP:0002910	C0151766	Elevated hepatic transaminase
HP:0002910	C0235996	Elevated hepatic transaminase
HP:0002910	C0438237	Elevated hepatic transaminase
HP:0002910	C0438717	Elevated hepatic transaminase
HP:0002910	C0877359	Elevated hepatic transaminase
HP:0002910	C1842003	Elevated hepatic transaminase
HP:0002910	C1848701	Elevated hepatic transaminase
HP:0002912	C0268583	Methylmalonic acidemia
HP:0002913	C0027080	Myoglobinuria
HP:0002914	C1846352	Hyperchloriduria
HP:0002916	C4025670	Abnormality of chromosome segregation
HP:0002917	C0151723	Hypomagnesemia
HP:0002918	C0151714	Hypermagnesemia
HP:0002919	C0162275	Ketonuria
HP:0002920	C4025669	Decreased circulating ACTH level
HP:0002921	C0151583	Abnormality of the cerebrospinal fluid
HP:0002922	C1806780	Increased CSF protein
HP:0002923	C0151379	Rheumatoid factor positive
HP:0002925	C0586553	Increased thyroid-stimulating hormone level
HP:0002926	C0857576	Abnormality of thyroid physiology
HP:0002927	C0268642	Histidinuria
HP:0002928	C1839888	Decreased activity of the pyruvate dehydrogenase complex
HP:0002929	C4025668	Leydig cell insensitivity to gonadotropin
HP:0002930	C2940786	Thyroid hormone receptor defect
HP:0002932	C1291266	Aldehyde oxidase deficiency
HP:0002933	C0019326	Ventral hernia
HP:0002936	C1847584	Distal sensory impairment
HP:0002937	C0265677	Hemivertebrae
HP:0002938	C1184923	Lumbar hyperlordosis
HP:0002942	C1184919	Thoracic kyphosis
HP:0002943	C1857790	Thoracic scoliosis
HP:0002944	C0749379	Thoracolumbar scoliosis
HP:0002945	C0263870	Intervertebral space narrowing
HP:0002946	C0265681	Supernumerary vertebrae
HP:0002947	C0575170	Cervical kyphosis
HP:0002948	C1835763	Vertebral fusion
HP:0002948	C1849073	Vertebral fusion
HP:0002948	C3278509	Vertebral fusion
HP:0002949	C3887527	Fused cervical vertebrae
HP:0002951	C4025667	Partial absence of cerebellar vermis
HP:0002953	C0262431	Vertebral compression fractures
HP:0002953	C0410550	Vertebral compression fractures
HP:0002955	C0521173	Granulomatosis
HP:0002958	C1844666	Immune dysregulation
HP:0002959	C1842528	Impaired Ig class switch recombination
HP:0002960	C0004364	Autoimmunity
HP:0002961	C0013374	Dysgammaglobulinemia
HP:0002963	C1833172	Abnormal delayed hypersensitivity skin test
HP:0002965	C1855781	Cutaneous anergy
HP:0002967	C0158465	Cubitus valgus
HP:0002970	C0544755	Genu varum
HP:0002971	C1833173	Absent microvilli on the surface of peripheral blood lymphocytes
HP:0002972	C1843386	Reduced delayed hypersensitivity
HP:0002973	C4025666	Abnormality of the forearm
HP:0002974	C0158761	Radioulnar synostosis
HP:0002977	C4025665	Aplasia/Hypoplasia involving the central nervous system
HP:0002979	C0544755	Bowing of the legs
HP:0002980	C1859461	Femoral bowing
HP:0002981	C4021832	Abnormality of the calf
HP:0002982	C1837081	Tibial bowing
HP:0002983	C0025995	Micromelia
HP:0002984	C0685381	Hypoplasia of the radius
HP:0002984	C1840087	Hypoplasia of the radius
HP:0002986	C1859399	Radial bowing
HP:0002987	C0409338	Elbow flexion contracture
HP:0002990	C1836186	Fibular aplasia
HP:0002991	C4025664	Abnormality of fibula morphology
HP:0002992	C4025663	Abnormality of tibia morphology
HP:0002996	C1849955	Limited elbow movement
HP:0002997	C4025662	Abnormality of the ulna
HP:0002999	C1135812	Patellar dislocation
HP:0003001	C0017671	Glomus jugular tumor
HP:0003002	C0678222	Breast carcinoma
HP:0003003	C0007102	Colon cancer
HP:0003005	C0017075	Ganglioneuroma
HP:0003006	C0027819	Neuroblastoma
HP:0003009	C4025661	Enhanced neurotoxicity of vincristine
HP:0003010	C0151529	Prolonged bleeding time
HP:0003011	C4021745	Abnormality of the musculature
HP:0003013	C1833329	Bulging epiphyses
HP:0003015	C1850135	Flared metaphysis
HP:0003016	C1849039	Metaphyseal widening
HP:0003019	C4021744	Abnormality of the wrist
HP:0003020	C1838663	Enlargement of the wrists
HP:0003021	C1837082	Metaphyseal cupping
HP:0003022	C1860614	Hypoplasia of the ulna
HP:0003022	C1862132	Hypoplasia of the ulna
HP:0003023	C1850178	Bowing of limbs due to multiple fractures
HP:0003025	C1838662	Metaphyseal irregularity
HP:0003026	C1854912	Short long bone
HP:0003027	C0549306	Mesomelia
HP:0003028	C4025660	Abnormality of the ankles
HP:0003029	C1838664	Enlargement of the ankles
HP:0003031	C1865847	Ulnar bowing
HP:0003034	C0011989	Diaphyseal sclerosis
HP:0003037	C1859111	Enlarged joints
HP:0003038	C1832119	Fibular hypoplasia
HP:0003040	C0022408	Arthropathy
HP:0003041	C1863360	Humeroradial synostosis
HP:0003041	C2930865	Humeroradial synostosis
HP:0003042	C1403299	Elbow dislocation
HP:0003042	C1403321	Elbow dislocation
HP:0003042	C2720437	Elbow dislocation
HP:0003043	C4025659	Abnormality of the shoulder
HP:0003044	C0409336	Shoulder flexion contracture
HP:0003045	C4021743	Abnormality of the patella
HP:0003048	C0149977	Radial head subluxation
HP:0003049	C0231678	Ulnar deviation of the wrist
HP:0003051	C1855544	Enlarged metaphyses
HP:0003053	C1854786	Epiphyseal deformities of tubular bones
HP:0003057	C2931216	Tetraamelia
HP:0003059	C4025658	Abnormality of the radioulnar joints
HP:0003063	C4021742	Abnormality of the humerus
HP:0003065	C1840068	Patellar hypoplasia
HP:0003066	C1844690	Limited knee extension
HP:0003067	C0152441	Madelung deformity
HP:0003068	C1851419	Madelung-like forearm deformities
HP:0003070	C0409477	Elbow ankylosis
HP:0003071	C1857527	Flattened epiphysis
HP:0003072	C0020437	Hypercalcemia
HP:0003073	C0239981	Hypoalbuminemia
HP:0003074	C0020456	Hyperglycemia
HP:0003075	C0020639	Hypoproteinemia
HP:0003076	C0017979	Glycosuria
HP:0003077	C0020473	Hyperlipidemia
HP:0003079	C1968564	Defective DNA repair after ultraviolet radiation damage
HP:0003080	C0948585	Hydroxyprolinuria
HP:0003081	C1846351	Increased urinary potassium
HP:0003083	C0265563	Dislocated radial head
HP:0003084	C0240231	Fractures of the long bones
HP:0003085	C1848109	Long fibula
HP:0003086	C1864365	Acromesomelia
HP:0003088	C1835121	Premature osteoarthritis
HP:0003089	C0410266	Hamstring contractures
HP:0003090	C1839254	Hypoplasia of the capital femoral epiphysis
HP:0003091	C4025657	Trophic limb changes
HP:0003093	C3553368	Limited hip extension
HP:0003095	C0003869	Septic arthritis
HP:0003095	C4280547	Septic arthritis
HP:0003097	C0345375	Short femur
HP:0003099	C1864298	Fibular overgrowth
HP:0003100	C1833144	Slender long bone
HP:0003102	C1855478	Increased carrying angle
HP:0003103	C4021741	Abnormal cortical bone morphology
HP:0003105	C1851418	Protuberances at ends of long bones
HP:0003106	C1848541	Subperiosteal bone resorption
HP:0003107	C4025656	Abnormality of cholesterol metabolism
HP:0003108	C0341706	Hyperglycinuria
HP:0003108	C0543541	Hyperglycinuria
HP:0003109	C0268079	Hyperphosphaturia
HP:0003109	C0948023	Hyperphosphaturia
HP:0003110	C4025655	Abnormality of urine homeostasis
HP:0003111	C1704431	Abnormality of ion homeostasis
HP:0003111	C4025654	Abnormality of ion homeostasis
HP:0003112	C4025653	Abnormality of serum amino acid levels
HP:0003113	C0085680	Hypochloremia
HP:0003113	C0595901	Hypochloremia
HP:0003115	C0522055	Abnormal EKG
HP:0003116	C0476369	Abnormal echocardiogram
HP:0003117	C4025652	Abnormality of circulating hormone level
HP:0003118	C0001622	Increased circulating cortisol level
HP:0003118	C0342443	Increased circulating cortisol level
HP:0003118	C4025651	Increased circulating cortisol level
HP:0003119	C0242339	Abnormality of lipid metabolism
HP:0003119	C4025650	Abnormality of lipid metabolism
HP:0003121	C1969879	Limb joint contracture
HP:0003124	C0020443	Hypercholesterolemia
HP:0003124	C0595929	Hypercholesterolemia
HP:0003125	C3494187	Reduced factor VIII activity
HP:0003125	C4025649	Reduced factor VIII activity
HP:0003126	C1839606	Low-molecular-weight proteinuria
HP:0003127	C0020599	Hypocalciuria
HP:0003128	C0001125	Lactic acidosis
HP:0003128	C0347959	Lactic acidosis
HP:0003130	C4025648	Abnormal peripheral myelination
HP:0003131	C0010691	Cystinuria
HP:0003133	C4025647	Abnormality of the spinocerebellar tracts
HP:0003134	C4020690	Abnormality of peripheral nerve conduction
HP:0003137	C0268534	Prolinuria
HP:0003138	C0151539	Increased blood urea nitrogen
HP:0003139	C1328587	Panhypogammaglobulinemia
HP:0003140	C4025646	T-wave inversion in the right precordial leads
HP:0003141	C0020445	Increased LDL cholesterol concentration
HP:0003141	C0549399	Increased LDL cholesterol concentration
HP:0003142	C4025645	Excessive purine production
HP:0003144	C0877243	Increased serum serotonin
HP:0003145	C1848556	Decreased adenosylcobalamin
HP:0003146	C0151718	Hypocholesterolemia
HP:0003148	C1839866	Elevated serum acid phosphatase
HP:0003149	C0948643	Hyperuricosuria
HP:0003150	C0268594	Glutaric aciduria
HP:0003152	C1833331	Increased serum 1,25-dihydroxyvitamin D3
HP:0003153	C0220993	Cystathioninuria
HP:0003154	C4021740	Increased circulating ACTH level
HP:0003155	C0750857	Elevated alkaline phosphatase
HP:0003158	C0232831	Hyposthenuria
HP:0003159	C0020500	Hyperoxaluria
HP:0003160	C2749688	Abnormal isoelectric focusing of serum transferrin
HP:0003161	C1848678	4-Hydroxyphenylpyruvic aciduria
HP:0003162	C0271708	Fasting hypoglycemia
HP:0003163	C1848702	Elevated urinary delta-aminolevulinic acid
HP:0003164	C4025644	Hypothalamic gonadotropin-releasing hormone deficiency
HP:0003165	C0857973	Elevated circulating parathyroid hormone level
HP:0003166	C3806447	Increased urinary taurine
HP:0003167	C3495558	Carnosinuria
HP:0003168	C4025643	Dibasicaminoaciduria
HP:0003170	C4021739	Abnormality of the acetabulum
HP:0003172	C4021738	Abnormality of the pubic bone
HP:0003173	C1865030	Hypoplastic pubic bone
HP:0003174	C0685661	Abnormality of the ischium
HP:0003175	C1859447	Hypoplastic ischia
HP:0003177	C1838186	Squared iliac bones
HP:0003179	C0409495	Protrusio acetabuli
HP:0003180	C1837485	Flat acetabular roof
HP:0003182	C1854910	Shallow acetabular fossae
HP:0003182	C1860796	Shallow acetabular fossae
HP:0003183	C1857190	Wide pubic symphysis
HP:0003184	C1836589	Decreased hip abduction
HP:0003185	C1866689	Short sacroiliac notch
HP:0003186	C0269269	Inverted nipples
HP:0003187	C0266013	Breast hypoplasia
HP:0003189	C1839798	Long nose
HP:0003191	C1844537	Cleft ala nasi
HP:0003193	C0847614	Allergic rhinitis
HP:0003193	C2607914	Allergic rhinitis
HP:0003194	C1854689	Short nasal bridge
HP:0003196	C0426414	Short nose
HP:0003196	C1854114	Short nose
HP:0003198	C0026848	Myopathy
HP:0003199	C1837108	Decreased muscle mass
HP:0003200	C3275417	Ragged-red muscle fibers
HP:0003201	C0035410	Rhabdomyolysis
HP:0003202	C0234958	Skeletal muscle atrophy
HP:0003202	C0270948	Skeletal muscle atrophy
HP:0003202	C0541794	Skeletal muscle atrophy
HP:0003202	C1843479	Skeletal muscle atrophy
HP:0003203	C4280805	Negative nitroblue tetrazolium reduction test
HP:0003204	C4025642	Intracellular accumulation of autofluorescent lipopigment storage material
HP:0003205	C1836852	Curvilinear intracellular accumulation of autofluorescent lipopigment storage material
HP:0003206	C1844394	Decreased activity of NADPH oxidase
HP:0003207	C1168153	Arterial calcification
HP:0003208	C1836851	Fingerprint intracellular accumulation of autofluorescent lipopigment storage material
HP:0003209	C4025641	Decreased pyruvate carboxylase activity
HP:0003210	C1848579	Decreased methylmalonyl-CoA mutase activity
HP:0003212	C0236175	Increased IgE level
HP:0003213	C4025640	Deficient excision of UV-induced pyrimidine dimers in DNA
HP:0003214	C4025639	Prolonged G2 phase of cell cycle
HP:0003215	C1856432	Dicarboxylic aciduria
HP:0003216	C1862968	Generalized amyloid deposition
HP:0003217	C1839533	Hyperglutaminemia
HP:0003218	C0268128	Oroticaciduria
HP:0003219	C1865353	Ethylmalonic aciduria
HP:0003220	C0376628	Abnormality of chromosome stability
HP:0003220	C1859424	Abnormality of chromosome stability
HP:0003221	C4021737	Chromosomal breakage induced by crosslinking agents
HP:0003223	C4021736	Decreased methylcobalamin
HP:0003224	C1857707	Increased cellular sensitivity to UV light
HP:0003225	C0015499	Reduced coagulation factor V activity
HP:0003226	C1850447	Rectilinear intracellular accumulation of autofluorescent lipopigment storage material
HP:0003228	C0020488	Hypernatremia
HP:0003231	C1879362	Hypertyrosinemia
HP:0003232	C1856697	Mitochondrial malic enzyme reduced
HP:0003233	C0151691	Decreased HDL cholesterol concentration
HP:0003233	C0473527	Decreased HDL cholesterol concentration
HP:0003234	C1142132	Decreased plasma carnitine
HP:0003235	C0268621	Hypermethioninemia
HP:0003236	C0151576	Elevated serum creatine phosphokinase
HP:0003236	C0241005	Elevated serum creatine phosphokinase
HP:0003237	C1858977	Increased IgG level
HP:0003238	C4025638	Hyperpepsinogenemia I
HP:0003239	C0268412	Phosphoethanolaminuria
HP:0003240	C4025637	Increased phosphoribosylpyrophosphate synthetase
HP:0003241	C1855333	External genital hypoplasia
HP:0003244	C1691215	Penile hypospadias
HP:0003246	C1852407	Prominent scrotal raphe
HP:0003247	C1851722	Overgrowth of external genitalia
HP:0003248	C1860268	Gonadal tissue inappropriate for external genitalia or chromosomal sex
HP:0003249	C0151281	Genital ulcers
HP:0003250	C0220763	Aplasia of the vagina
HP:0003250	C1321884	Aplasia of the vagina
HP:0003250	C1841990	Aplasia of the vagina
HP:0003251	C0021364	Male infertility
HP:0003252	C1848653	Anteriorly displaced genitalia
HP:0003254	C4021848	Abnormality of DNA repair
HP:0003256	C0005779	Abnormality of the coagulation cascade
HP:0003258	C3279658	Glyoxalase deficiency
HP:0003259	C0700225	Elevated serum creatinine
HP:0003260	C0268531	Hydroxyprolinemia
HP:0003261	C0239984	Increased IgA level
HP:0003262	C0241185	Smooth muscle antibody positivity
HP:0003264	C0020725	Deficiency of N-acetylglucosamine-1-phosphotransferase
HP:0003265	C0857007	Neonatal hyperbilirubinemia
HP:0003267	C4020845	Reduced orotidine 5-prime phosphate decarboxylase activity
HP:0003267	C4025636	Reduced orotidine 5-prime phosphate decarboxylase activity
HP:0003268	C4025635	Argininuria
HP:0003269	C0205711	Sudanophilic leukodystrophy
HP:0003270	C0000731	Abdominal distention
HP:0003271	C0042782	Visceromegaly
HP:0003272	C4021735	Abnormality of the hip bone
HP:0003273	C0409354	Hip contracture
HP:0003274	C1846442	Hypoplastic acetabulae
HP:0003275	C1848103	Narrow pelvis bone
HP:0003276	C1844689	Pelvic bone exostoses
HP:0003277	C1854785	Constricted iliac wings
HP:0003278	C1849953	Square pelvis bone
HP:0003279	C1860826	Coxa magna
HP:0003281	C0241013	Increased serum ferritin
HP:0003281	C0743912	Increased serum ferritin
HP:0003281	C3854388	Increased serum ferritin
HP:0003282	C1860130	Low alkaline phosphatase
HP:0003286	C0268618	Cystathioninemia
HP:0003287	C4021734	Abnormality of mitochondrial metabolism
HP:0003288	C4025634	Mitochondrial propionyl-CoA carboxylase defect
HP:0003292	C1837802	Decreased serum leptin
HP:0003296	C2673931	Hyperthreoninuria
HP:0003297	C4021733	Hyperlysinuria
HP:0003298	C0080174	Spina bifida occulta
HP:0003300	C1855665	Ovoid vertebral bodies
HP:0003300	C4020844	Ovoid vertebral bodies
HP:0003301	C1842153	Irregular vertebral endplates
HP:0003302	C0038016	Spondylolisthesis
HP:0003304	C0038018	Spondylolysis
HP:0003305	C1844753	Block vertebrae
HP:0003306	C1858025	Spinal rigidity
HP:0003307	C0024003	Hyperlordosis
HP:0003308	C1846798	Cervical subluxation
HP:0003309	C1868556	Ovoid thoracolumbar vertebrae
HP:0003310	C1864794	Abnormality of the odontoid process
HP:0003311	C1846439	Hypoplasia of the odontoid process
HP:0003312	C1839326	Abnormal form of the vertebral bodies
HP:0003316	C1844752	Butterfly vertebrae
HP:0003318	C0574967	Cervical spine hypermobility
HP:0003319	C1852464	Abnormality of the cervical spine
HP:0003320	C1848446	C1-C2 subluxation
HP:0003321	C1833753	Biconcave flattened vertebrae
HP:0003323	C0240421	Progressive muscle weakness
HP:0003324	C0746674	Generalized muscle weakness
HP:0003325	C1858127	Limb-girdle muscle weakness
HP:0003326	C0231528	Myalgia
HP:0003327	C1843697	Axial muscle weakness
HP:0003328	C4025632	Abnormal hair laboratory examination
HP:0003329	C4025631	Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes
HP:0003330	C4025630	Abnormal bone structure
HP:0003332	C3277126	Absent primary metaphyseal spongiosa
HP:0003333	C2673361	Increased serum beta-hexosaminidase
HP:0003334	C4025629	Elevated circulating catecholamine level
HP:0003336	C4025628	Abnormal enchondral ossification
HP:0003337	C4021732	Reduced prothrombin consumption
HP:0003338	C4025627	Focal necrosis of right ventricular muscle cells
HP:0003339	C4021731	Pyrimidine-responsive megaloblastic anemia
HP:0003341	C4021730	Junctional split
HP:0003343	C0398746	Glutathione synthetase deficiency
HP:0003344	C3151952	3-Methylglutaric aciduria
HP:0003345	C4025626	Elevated urinary norepinephrine
HP:0003347	C4025625	Impaired lymphocyte transformation with phytohemagglutinin
HP:0003348	C0268630	Hyperalaninemia
HP:0003348	C1839424	Hyperalaninemia
